file_a,file_b,label_a,label_b,co_changes,changes_a,changes_b
freeplane\src\org\freeplane\main\application\ApplicationViewController.java,freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,ApplicationViewController,FreeplaneStarter,29,99,135
freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,MModeControllerFactory,MapView,29,159,279
freeplane\src\org\freeplane\view\swing\map\BubbleMainView.java,freeplane\src\org\freeplane\view\swing\map\RootMainView.java,BubbleMainView,RootMainView,28,56,63
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\view\swing\map\NodeView.java,MenuBuilder,NodeView,28,116,262
freeplane\src\org\freeplane\view\swing\map\MainView.java,freeplane\src\org\freeplane\view\swing\map\attribute\AttributeTable.java,MainView,AttributeTable,28,207,99
freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,freeplane\src\org\freeplane\features\mindmapmode\addins\export\ExportWithXSLT.java,MMapController,ExportWithXSLT,28,62,55
freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,MMapController,ExportBranchAction,28,62,53
freeplane\src\org\freeplane\features\mindmapmode\addins\export\ExportWithXSLT.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,ExportWithXSLT,ExportBranchAction,28,55,53
freeplane\src\org\freeplane\features\mindmapmode\clipboard\CutAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,CutAction,ExportBranchAction,28,38,53
freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\ImportExplorerFavoritesAction.java,ExportBranchAction,ImportExplorerFavoritesAction,28,53,30
freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\ImportFolderStructureAction.java,ExportBranchAction,ImportFolderStructureAction,28,53,31
freeplane\src\org\freeplane\features\mindmapmode\note\MNoteController.java,freeplane\src\org\freeplane\features\mindmapmode\text\MTextController.java,MNoteController,MTextController,28,79,87
freeplane\src\org\freeplane\features\common\edge\EdgeController.java,freeplane\src\org\freeplane\features\common\link\LinkController.java,EdgeController,LinkController,28,52,80
freeplane\src\org\freeplane\features\common\link\LinkController.java,freeplane\src\org\freeplane\features\common\nodestyle\NodeStyleController.java,LinkController,NodeStyleController,28,80,58
freeplane\src\org\freeplane\features\common\text\IgnoreCaseNodeContainsCondition.java,freeplane\src\org\freeplane\features\common\text\NodeContainsCondition.java,IgnoreCaseNodeContainsCondition,NodeContainsCondition,28,29,37
freeplane\src\org\freeplane\core\url\UrlManager.java,freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,UrlManager,MMapController,28,64,62
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\features\common\link\LinkController.java,Controller,LinkController,28,62,80
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\features\mindmapmode\MModeController.java,Controller,MModeController,28,62,52
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,ViewController,MMapController,28,109,62
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,ViewController,ExportBranchAction,28,109,53
freeplane\src\org\freeplane\core\modecontroller\MapController.java,freeplane\src\org\freeplane\core\url\UrlManager.java,MapController,UrlManager,28,69,64
freeplane\src\org\freeplane\core\modecontroller\MapController.java,freeplane\src\org\freeplane\view\swing\map\MapView.java,MapController,MapView,28,69,279
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\main\mindmapmode\MModeControllerFactory.java,ViewController,MModeControllerFactory,28,109,159
freeplane_plugin_script\src\org\freeplane\plugin\script\proxy\ControllerProxy.java,freeplane_plugin_script\src\org\freeplane\plugin\script\proxy\Proxy.java,ControllerProxy,Proxy,28,50,112
freeplane_plugin_script\src\org\freeplane\plugin\script\ScriptingConfiguration.java,freeplane_plugin_script\src\org\freeplane\plugin\script\ScriptingRegistration.java,ScriptingConfiguration,ScriptingRegistration,28,46,77
freeplane\src\org\freeplane\core\filter\FilterComposerDialog.java,freeplane\src\org\freeplane\core\filter\FilterController.java,FilterComposerDialog,FilterController,27,37,61
freeplane\src\org\freeplane\core\filter\FilterController.java,freeplane\src\org\freeplane\core\ui\MenuBuilder.java,FilterController,MenuBuilder,27,61,116
freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,freeplane\src\org\freeplane\features\mindmapmode\MModeController.java,MMapController,MModeController,27,62,52
freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,freeplane\src\org\freeplane\features\mindmapmode\clipboard\CutAction.java,MMapController,CutAction,27,62,38
freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,freeplane\src\org\freeplane\features\mindmapmode\clipboard\PasteAction.java,MMapController,PasteAction,27,62,46
freeplane\src\org\freeplane\features\mindmapmode\clipboard\CutAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\MFileManager.java,CutAction,MFileManager,27,38,100
freeplane\src\org\freeplane\features\mindmapmode\file\ImportExplorerFavoritesAction.java,freeplane\src\org\freeplane\features\mindmapmode\file\ImportFolderStructureAction.java,ImportExplorerFavoritesAction,ImportFolderStructureAction,27,30,31
freeplane\src\org\freeplane\features\mindmapmode\link\MLinkController.java,freeplane\src\org\freeplane\features\mindmapmode\text\MTextController.java,MLinkController,MTextController,27,74,87
freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeBase.java,freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeWYSIWYG.java,EditNodeBase,EditNodeWYSIWYG,27,45,53
freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeBase.java,freeplane\src\org\freeplane\features\mindmapmode\text\MTextController.java,EditNodeBase,MTextController,27,45,87
freeplane\src\org\freeplane\features\mindmapmode\text\EditNodeWYSIWYG.java,freeplane\src\org\freeplane\features\mindmapmode\text\MTextController.java,EditNodeWYSIWYG,MTextController,27,53,87
freeplane\src\org\freeplane\features\common\link\LinkController.java,freeplane\src\org\freeplane\features\mindmapmode\link\SetLinkByTextFieldAction.java,LinkController,SetLinkByTextFieldAction,27,80,38
freeplane\src\org\freeplane\features\common\note\NoteController.java,freeplane\src\org\freeplane\features\mindmapmode\note\MNoteController.java,NoteController,MNoteController,27,48,79
freeplane\src\org\freeplane\core\url\UrlManager.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,UrlManager,ExportBranchAction,27,64,53
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\core\modecontroller\MapController.java,Controller,MapController,27,62,69
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,Controller,MMapController,27,62,62
freeplane\src\org\freeplane\core\controller\Controller.java,freeplane\src\org\freeplane\features\mindmapmode\clipboard\CutAction.java,Controller,CutAction,27,62,38
freeplane\src\org\freeplane\core\frame\ViewController.java,freeplane\src\org\freeplane\features\mindmapmode\note\MNoteController.java,ViewController,MNoteController,27,109,79
freeplane\src\org\freeplane\core\modecontroller\MapController.java,freeplane\src\org\freeplane\features\mindmapmode\file\ExportBranchAction.java,MapController,ExportBranchAction,27,69,53
freeplane\src\org\freeplane\features\common\link\LinkController.java,freeplane\src\org\freeplane\features\mindmapmode\MMapController.java,LinkController,MMapController,27,80,62
freeplane\src\org\freeplane\core\ui\MenuBuilder.java,freeplane\src\org\freeplane\features\controller\help\DocumentationAction.java,MenuBuilder,DocumentationAction,27,116,44
freeplane\src\org\freeplane\view\swing\ui\UserInputListenerFactory.java,freeplane\src\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,UserInputListenerFactory,MNodeDropListener,27,74,51
freeplane\src\org\freeplane\view\swing\map\MapView.java,freeplane\src\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,MapView,MNodeDropListener,27,279,51
freeplane\src\org\freeplane\main\applet\AppletViewController.java,freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,AppletViewController,FreeplaneStarter,27,59,135
freeplane\src\org\freeplane\main\applet\AppletViewController.java,freeplane\src\org\freeplane\main\application\LastOpenedList.java,AppletViewController,LastOpenedList,27,59,84
freeplane\src\org\freeplane\main\application\ApplicationResourceController.java,freeplane\src\org\freeplane\main\application\FreeplaneStarter.java,ApplicationResourceController,FreeplaneStarter,27,46,135
